par_code,state,ge14_constituency,mp_name,may_2018_camp,may_2018_party,may_2018_note,june_2018_camp,june_2018_party,june_2018_note,july_2018_camp,july_2018_party,july_2018_note,aug_2018_camp,aug_2018_party,aug_2018_note,sept_2018_camp,sept_2018_party,sept_2018_note,oct_2018_camp,oct_2018_party,oct_2018_note,nov_2018_camp,nov_2018_party,nov_2018_note,dec_2018_camp,dec_2018_party,dec_2018_note
P001,Perlis,Padang Besar,Zahidi Zainul Abidin,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P002,Perlis,Kangar,Noor Amin Ahmad,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P003,Perlis,Arau,Shahidan Kassim,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P004,Kedah,Langkawi,Mahathir Mohammad,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P005,Kedah,Jerlun,Mukhriz Mahathir,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P006,Kedah,Kubang Pasu,Amiruddin Hamzah,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,,Harapan,Bersatu,
P007,Kedah,Padang Terap,Mahdzir Khalid,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,,BN,Umno,
P008,Kedah,Pokok Sena,Mahfuz Omar,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,,Harapan,Amanah,
P009,Kedah,Alor Setar,Chan Ming Kai,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P010,Kedah,Kuala Kedah,Azman Ismail,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,,Harapan,PKR,
P011,Kedah,Pendang,Awang Hashim,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P012,Kedah,Jerai,Sabri Azit,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
P013,Kedah,Sik,Ahmad Tarmizi Sulaiman,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,,PAS,PAS,
